source_id,source_origin_time,source_latitude_deg,source_longitude_deg,source_depth_km,source_magnitude,source_magnitude_type,strike,dip,rake,mechanism_type,solution_source,estimated_quality,zncc,preliminary_estimated_quality,polarity_validation,pred_usable_polarity_count,pred_polarity_match_ratio
6219491,2015-11-07T22:36:04.53Z,37.2548,15.8843,22.8,3.5,ML,177,89,-2,strike_slip,model_prediction,high,0.829709709,high,strong,17,0.941176471
1928939,2009-04-11T05:39:00.20Z,42.386,13.418,10.6,3.3,ML,323,40,-75,normal,model_prediction,high,0.884150743,high,strong,17,0.882352941
7920021,2016-09-11T18:39:02.71Z,42.6813,13.2682,8.3,3.3,ML,144,58,-87,normal,model_prediction,moderate,0.843602538,high,acceptable,14,0.714285714
1335871,2012-09-27T03:47:58.70Z,41.1607,14.9232,10,3.5,ML,285,55,-120,normal,model_prediction,moderate,0.82357949,high,acceptable,8,0.5
1929209,2009-04-11T06:57:02.55Z,42.388,13.405,9.8,3.2,ML,134,51,-89,normal,model_prediction,high,0.878473282,high,strong,9,0.888888889
2144241,2013-06-18T20:25:10.18Z,45.538,10.9777,9.3,3,ML,288,72,156,strike_slip,model_prediction,high,0.800385535,high,strong,10,0.9
22350901,2019-05-29T14:21:53.34Z,37.6667,15.1475,6.7,3,ML,157,88,28,strike_slip,model_prediction,moderate,0.799912095,moderate,strong,12,1
13268161,2017-02-02T21:42:49.58Z,42.5757,13.2468,11.2,2.4,ML,243,12,-23,strike_slip,model_prediction,moderate,0.783240914,moderate,strong,9,0.777777778
17606101,2017-11-10T15:49:05.29Z,37.7658,14.6263,27.7,3.5,ML,52,72,-9,strike_slip,model_prediction,high,0.812453508,high,strong,16,1
4177581,2014-09-08T17:10:17.14Z,41.9657,13.7237,21.3,3.1,ML,245,39,-143,strike_slip,model_prediction,moderate,0.851381421,moderate,strong,10,0.8
5914151,2015-08-08T22:46:24.36Z,38.5513,14.2695,19.5,3.8,ML,358,89,13,strike_slip,model_prediction,high,0.833525777,high,strong,14,1
7307161,2016-08-27T21:31:42.46Z,42.5913,13.2598,11.3,3.4,ML,126,55,-115,normal,model_prediction,high,0.869447827,high,strong,10,0.9
16976111,2017-09-06T12:30:32.48Z,46.2652,11.9988,10.2,3.1,ML,296,72,140,strike_slip,model_prediction,high,0.807919562,high,strong,12,1
10021501,2016-11-16T09:41:02.03Z,43.0308,13.1057,7.4,3,ML,104,87,-180,strike_slip,model_prediction,moderate,0.840503097,moderate,strong,16,0.9375
18726251,2018-04-11T04:48:12.88Z,37.7313,15.9405,42.4,3.7,ML,103,90,-171,strike_slip,model_prediction,high,0.797561288,high,strong,20,0.95
2479599,2012-01-25T17:43:36.47Z,44.867,10.507,28.3,3.6,ML,315,70,19,strike_slip,model_prediction,high,0.805485904,high,strong,8,0.875
6489231,2016-03-07T21:25:17.04Z,37.6197,15.8453,29.9,3.6,ML,19,82,-22,strike_slip,model_prediction,high,0.829734921,high,strong,15,1
12737051,2017-01-19T01:53:07.41Z,42.597,13.3053,8,3.5,ML,160,43,-83,normal,model_prediction,moderate,0.871128678,high,acceptable,8,0.5
6681001,2016-05-07T09:55:32.87Z,37.1202,14.7543,23.7,3.5,ML,129,38,-135,normal,model_prediction,high,0.823384285,high,strong,10,1
2234241,2013-06-29T11:06:51.13Z,44.1717,10.1852,6,3.4,ML,107,46,-57,normal,model_prediction,high,0.852868795,high,strong,8,0.75
23329411,2019-10-26T01:17:51.62Z,37.7403,15.1337,8.8,3.2,ML,126,83,-23,strike_slip,model_prediction,high,0.808974504,high,strong,13,0.923076923
12857281,2017-01-21T20:45:07.56Z,42.604,13.2768,10.7,3.1,ML,306,57,-99,normal,model_prediction,high,0.812856495,high,strong,12,0.75
7083821,2016-08-24T04:55:19.03Z,42.6005,13.2832,7.2,3.1,ML,341,52,-50,normal,model_prediction,moderate,0.837395072,moderate,acceptable,16,0.5
1916339,2009-04-08T23:18:06.52Z,42.386,13.331,11,3.4,ML,129,54,-110,normal,model_prediction,high,0.870597243,high,strong,11,0.727272727
21567571,2019-02-15T09:16:21.84Z,38.8203,16.015,50.2,3.4,ML,345,30,-135,normal,model_prediction,moderate,0.792993665,high,acceptable,9,0.666666667
1917829,2009-04-09T04:29:45.34Z,42.501,13.336,10.3,3.2,ML,111,47,-136,strike_slip,model_prediction,high,0.839491844,high,strong,9,0.777777778
1743171,2013-02-16T09:51:48.82Z,41.2177,15.0147,25.2,3.1,ML,352,67,-144,strike_slip,model_prediction,high,0.814394951,high,strong,12,0.833333333
1832219,2008-07-09T09:47:20.67Z,42.51,13.274,10.6,3.1,ML,354,58,-83,normal,model_prediction,high,0.8694731,high,strong,8,0.75
23822621,2020-01-26T16:26:03.25Z,43.9055,12.6112,25.6,3,ML,299,82,87,thrust,model_prediction,moderate,0.821158648,moderate,acceptable,13,0.615384615
6308241,2015-12-15T15:38:58.18Z,40.6592,15.4795,17.2,3,ML,183,73,53,thrust,model_prediction,high,0.81084156,high,strong,10,0.8
13153191,2017-01-30T08:15:33.24Z,37.6705,14.9935,17.9,3.4,ML,283,66,63,thrust,model_prediction,moderate,0.802925944,high,acceptable,17,0.764705882
13155871,2017-01-30T09:44:56.41Z,37.6673,14.9807,16.4,3.4,ML,85,90,-27,strike_slip,model_prediction,high,0.811246157,high,strong,13,1
20395991,2018-08-17T22:48:42.56Z,41.8717,14.8723,23.2,3.3,ML,172,90,6,strike_slip,model_prediction,high,0.799759924,high,strong,14,1
13156491,2017-01-30T09:59:48.53Z,37.6693,14.9822,18.5,3.3,ML,285,75,53,thrust,model_prediction,moderate,0.801126778,high,acceptable,11,0.818181818
5966231,2015-08-18T05:59:15.41Z,40.6368,15.4432,15.1,3.1,ML,90,39,-135,normal,model_prediction,moderate,0.853769302,moderate,strong,9,0.777777778
2123891,2013-06-10T07:26:34.28Z,41.6137,13.7775,10,3,ML,160,40,-81,normal,model_prediction,moderate,0.869701564,moderate,strong,14,1
3185781,2014-03-12T00:55:38.20Z,37.6482,15.1288,7.2,3,ML,185,84,-10,strike_slip,model_prediction,moderate,0.822269678,moderate,strong,11,0.818181818
6357731,2016-01-09T10:28:56.76Z,40.5248,15.6168,16.4,3,ML,2,66,-41,strike_slip,model_prediction,moderate,0.831349909,moderate,strong,12,1
1247551,2012-08-30T11:09:57.38Z,38.3087,14.8663,23.6,3.5,ML,304,63,-124,normal,model_prediction,high,0.840264916,high,strong,11,0.909090909
23101861,2019-09-17T21:32:34.84Z,37.7413,14.8928,6.9,3.1,ML,140,68,-7,strike_slip,model_prediction,high,0.826313078,high,strong,9,0.888888889
2350239,2011-05-06T03:43:51.81Z,37.791,14.965,24.9,3.1,ML,108,89,-154,strike_slip,model_prediction,high,0.808839798,high,strong,11,1
22878631,2019-08-17T01:43:03.09Z,42.7318,12.545,5.4,3,ML,243,54,-45,normal,model_prediction,high,0.842486024,high,strong,13,0.923076923
23101401,2019-09-17T18:40:49.78Z,37.7435,14.8877,7.5,3,ML,233,83,-176,strike_slip,model_prediction,high,0.826316059,high,strong,11,0.909090909
19985181,2018-07-07T07:11:45.70Z,37.8488,13.9762,6.3,3.7,ML,304,32,-86,normal,model_prediction,high,0.815323949,high,strong,10,1
2350909,2011-05-06T19:28:49.81Z,37.793,14.963,25.7,3.5,ML,260,78,129,thrust,model_prediction,high,0.807997882,high,strong,13,1
12691421,2017-01-17T21:20:37.48Z,38.062,14.7225,6,3.4,ML,66,61,-124,normal,model_prediction,high,0.846750021,high,strong,9,1
4254561,2014-09-28T11:21:07.37Z,44.1703,10.2315,6.5,3.2,ML,169,51,-8,strike_slip,model_prediction,high,0.809343815,high,strong,9,0.777777778
20381061,2018-08-16T23:02:42.48Z,41.8507,14.8733,25.6,3.1,ML,181,72,-2,strike_slip,model_prediction,moderate,0.826916218,moderate,strong,14,0.928571429
5090071,2015-03-13T16:27:08.03Z,41.5267,14.589,15,3,ML,172,15,-45,normal,model_prediction,moderate,0.796640575,moderate,strong,12,0.75
6146711,2015-10-09T00:35:29.16Z,37.7133,15.1663,5,3,ML,98,44,-87,normal,model_prediction,moderate,0.792895675,moderate,strong,11,0.909090909
793641,2012-05-21T16:37:31.36Z,44.8657,11.3055,3.58,4.1,ML,250,33,87,thrust,model_prediction,high,0.793339729,high,strong,10,1
16852251,2017-08-26T20:46:21.21Z,37.6762,14.8948,23.8,3,ML,280,83,24,strike_slip,model_prediction,high,0.834639311,high,strong,12,0.75
844031,2012-05-29T08:25:51.48Z,44.8647,10.9475,7.87,5,ML,278,50,97,thrust,model_prediction,high,0.799474478,high,strong,13,1
22459551,2019-06-15T04:12:45.95Z,46.3967,12.9943,7.5,3.5,ML,261,40,93,thrust,model_prediction,high,0.809352875,high,strong,10,0.9
22805931,2019-08-05T10:16:21.75Z,37.664,13.2203,7.7,3.6,ML,350,83,169,strike_slip,model_prediction,high,0.813560963,high,strong,12,0.833333333
1352561,2012-10-01T21:27:51.75Z,39.9072,16.0048,8.7,3.4,ML,331,43,-99,normal,model_prediction,high,0.876947403,high,strong,8,1
1905969,2009-04-07T08:00:52.48Z,42.383,13.398,15.3,3.4,ML,322,75,-72,normal,model_prediction,moderate,0.85244298,high,acceptable,8,0.625
22471081,2019-06-16T13:40:54.97Z,46.3967,12.9967,7.9,3.1,ML,273,43,100,thrust,model_prediction,moderate,0.804047346,moderate,acceptable,11,0.818181818
21216991,2018-12-13T04:14:13.83Z,37.8122,14.1968,8.4,3.5,ML,261,41,-115,normal,model_prediction,moderate,0.862080455,high,acceptable,8,0.75
